"repository_url","age_days","forks","subscribers","stargazers","pull_requests","issues","comments","commits","contributors","followers"
https://api.github.com/repos/arioch/puppet-redis,724,8,1,5,7,5,1,68,5,43
https://api.github.com/repos/ariutta/svg-pan-zoom,294,24,7,52,16,46,12,157,9,10
https://api.github.com/repos/arm5077/bill-peduto-bot,166,3,1,7,1,0,0,7,1,7
https://api.github.com/repos/armetiz/LeezyPheanstalkBundle,942,12,8,51,18,27,9,177,10,10
https://api.github.com/repos/arq5x/gemini,907,38,25,82,136,193,32,1159,14,139
https://api.github.com/repos/arq5x/Hydra,1105,1,2,3,1,4,0,143,2,139
https://api.github.com/repos/arq5x/piledriver,594,4,4,15,1,6,0,20,2,139
https://api.github.com/repos/ArrowDelegation/ArrowDelegation.github.io,168,1,1,0,1,0,0,6,2,0
https://api.github.com/repos/artemave/37-pieces-of-flair,186,3,3,3,8,0,2,46,5,32
https://api.github.com/repos/arthare/wifilapper,811,5,4,5,31,0,0,250,3,2
https://api.github.com/repos/ArthurHub/HTML-Renderer,357,13,9,35,6,8,2,367,3,2
https://api.github.com/repos/artpolikarpov/fotorama,497,113,53,680,23,280,10,623,12,163
https://api.github.com/repos/arturaz/concurrency-presentation,183,1,1,0,1,0,0,2,1,20
https://api.github.com/repos/aruiz/webp-pixbuf-loader,1333,3,3,3,1,0,0,7,2,15
https://api.github.com/repos/ascheglov/json-cpp,349,2,2,4,2,1,0,20,2,4
https://api.github.com/repos/asciimoo/searx,328,26,21,112,58,38,0,702,10,56
https://api.github.com/repos/Ashanna/woocommerce-easy-booking-system,303,7,6,11,2,8,0,6,2,2
https://api.github.com/repos/ashcrow/flask-track-usage,505,4,1,10,6,9,2,70,3,18
https://api.github.com/repos/ashirley/football,207,2,2,1,5,2,0,27,3,4
https://api.github.com/repos/aslatter/parsec,169,4,2,5,4,3,2,88,7,11
https://api.github.com/repos/asok/helm-rails,675,5,4,6,3,0,0,60,3,8
https://api.github.com/repos/astaxie/beedb,852,103,69,480,24,30,13,61,14,1736
https://api.github.com/repos/astaxie/beego,922,733,361,2963,300,516,90,1296,78,1736
https://api.github.com/repos/Astonex/Antox,221,99,58,282,360,163,44,1487,39,24
https://api.github.com/repos/astrofrog/pyavm,1531,3,3,9,6,21,4,128,3,90
https://api.github.com/repos/astrofrog/wcsaxes,398,11,4,5,45,67,0,408,8,90
https://api.github.com/repos/ataka/blgrep,733,2,1,4,2,0,0,7,3,4
https://api.github.com/repos/aterrien/jQuery-Knob,1021,916,211,3848,63,172,1,110,13,521
https://api.github.com/repos/atgreen/libffi,1805,99,26,288,75,58,1,523,30,28
https://api.github.com/repos/atmos/heaven,196,26,14,148,59,21,0,350,16,784
https://api.github.com/repos/atomic-penguin/cookbook-nfs,874,47,2,18,33,7,12,109,23,39
https://api.github.com/repos/atomic-penguin/cookbook-snmp,874,27,3,8,21,8,0,76,11,39
https://api.github.com/repos/atomictom/WiseGuy,228,1,3,0,4,1,0,49,3,2
https://api.github.com/repos/AutomatedTester/browsermob-proxy-py,1062,19,6,35,16,9,0,96,10,122
https://api.github.com/repos/autresphere/ASMediaFocusManager,605,101,38,480,13,8,0,64,8,47
https://api.github.com/repos/avryl/new-smileys,171,2,2,15,4,1,1,12,2,32
https://api.github.com/repos/avshyd/Clientapp,272,10,1,0,187,3,0,587,8,0
https://api.github.com/repos/avstudnitz/AvS_FastSimpleImport,949,56,42,135,45,109,1,256,20,55
https://api.github.com/repos/AWinterman/gist-put,500,1,2,0,1,7,0,49,2,16
https://api.github.com/repos/axemclion/grunt-saucelabs,671,55,12,120,89,75,23,328,34,89
https://api.github.com/repos/aybabtme/brog,315,7,5,11,0,43,8,123,4,59
https://api.github.com/repos/Azanor/thaumcraft,336,157,44,66,291,827,53,626,59,125
https://api.github.com/repos/azer/prova,175,13,8,205,10,24,0,131,4,321
https://api.github.com/repos/baedert/corebird,378,21,17,122,28,208,10,1551,12,7
https://api.github.com/repos/BahamutDragon/pcgen,496,35,26,22,36,100,3,1045,12,8
https://api.github.com/repos/bahmanm/persianutils,259,1,4,4,1,6,0,15,1,10
https://api.github.com/repos/bangordailynews/WordPress-to-InDesign,1042,5,5,24,3,0,0,23,3,33
https://api.github.com/repos/bannio/bulldog,238,1,3,0,61,0,0,263,2,0
https://api.github.com/repos/barbushin/php-imap,641,82,32,152,23,39,9,58,9,24
